MX.24.388.1	When one can see through the solution . When the solid gets dissolved into the liquid .
MX.24.389.1	When one mixes a solid and a liquid the solution is clear .
MX.24.390.1	A solid and a liquid form a solution because the mixture is clear .
MX.24.393.1	The solution is clear and can be separated with evaporation .
MX.24.394.1	One can see through the mixture , and one material has dissolved in the solution .
MX.24.433.1	A solid and a liquid form a solution when they create one type of something like chocolate milk .
EM.21a.139.1	Scratch one mineral against the other .
EM.21a.278.1	Rubbing the minerals together .
EM.21a.284.1	Use the person's fingernail .
EM.21a.435.1	A person could rub the minerals together .
EM.21a.459.1	Scratch the minerals together .
II.38.101.1	One sees people upside down and kite, cart, cow, buoyant .
II.38.113.1	If a mirror were placed along a line of symmetry on a flat object one would see a heart .
II.38.140.1	One will see the line of symmetry .
II.38.144.1	One would see the same part of the mirror .
II.38.206.1	One would see the other side but it would be in the mirror .
II.38.224.1	One would see the whole shape .
MX.53.106.1	A person could see what solid was used and he will find out what it is .
MX.53.157.1	One can tell by the way the crystals are shaped .
MX.53.181.1	A person can probably look in a book or something to find out . All crystals are different .
MX.53.248.1	The crystals help a person by making solid materials .
MX.53.366.1	If one puts citric acid the crystals will be like a influx .
MX.53.384.1	One thinks the crystals will help be by the shape and what they have on it .
ST.58.397.1	One knows the part of the plant is a fruit because it would have seeds in it .
ST.58.398.1	To be a fruit the part of the plant must have at least one seed in it .
ST.58.456.1	One will look at the seed .
ST.58.461.1	The part of the plant has a seed .
ST.58.464.1	The part of the plant has to have an embryo, seed count, and cotyledon .
ST.58.470.1	If the part of the plant has seeds, that part is the fruit .
VB.29.384.1	So that one can see the results of an experiment before a variable is changed so one can compare .
VB.29.388.1	One uses a standard so one will not make a mistake and so one can compare the results of an experiment to differences .
VB.29.394.1	One starts with a standard so one can compare his standard data to his own data when he changes a variable .
VB.29.397.1	So one can get the closest answer to the question .
VB.29.399.1	So one can record and change variables to get a difference .
VB.29.404.1	So that control one's experiment without changing more than one variable .
ST.52a.382.1	Because the root sucks up the water as food for the plant and stem .
ST.52a.386.1	Because the plants need roots to produce the leaves .
ST.52a.394.1	The root grows first to get food and nutrients .
ST.52a.396.1	The root grows first because the seed needs water to grow .
ST.52a.426.1	So the seed does not die .
ST.52a.429.1	Because the root needs to stay . It will not grow at all .
LP.15c.105.1	The seed and root both relate because one equals the other for a answer .
LP.15c.107.1	The seed and root both help the scale by weighing the load .
LP.15c.111.1	The farther away the effort is the easier it is to lift the load .
LP.15c.112.1	The distance of the effort required to lift the load from the fulcrum is 15 centimeters .
LP.15c.188.1	The farther away from the fulcrum the less effort is needed and the closer to the fulcrum the more effort .
LP.15c.208.1	The closer the effort is to the fulcrum, the harder it is to lift the load .
MS.43b.103.1	The groups could use grams to weigh them .
MS.43b.118.1	The groups should use the same marbles .
MS.43b.147.1	The groups should use little marbles .
MS.43b.153.1	35 grams to a glass case, 60 grams to a big book .
MS.43b.171.1	The groups could redo the weighing process to see if they weighed the right mass .
MS.43b.276.1	The groups should use a standard unit .
ST.59.393.1	A person needs to add another house or shelter and maybe a female .
ST.59.396.1	A person should include another home .
ST.59.418.1	Put a glass in the center of the tank .
ST.59.420.1	Get a person's own shelter for that lizard .
ST.59.422.1	A lizard needs food, home, space, air, water .
PS.4ap.105.1	The pitch will change by the way a person plucks it .
PS.4ap.110.1	The pitch would be low .
PS.4ap.118.1	The pitch will get high .
PS.4ap.141.1	Higher pitch is observed if a person pulled the string tighter .
PS.4ap.154.1	It would make a higher pitch if a person pulled the string tighter .
PS.4ap.172.1	The pitch would be lower because the string has less room to vibrate .
EM.21a.311.1	A rock scratches .
MX.24.418.1	Because one can see through the solution , and the mixture will dissolve into it .
MX.24.468.1	One can not see the solid no more because it is going and one can not see the solution .
MX.24.527.1	One knows when the solid can not be seen .
MX.24.566.1	When the solid dissolves into the liquid .
EM.21a.403.1	A person can rub the minerals against each other .
EM.21a.557.1	Rubbing the minerals together .
EM.21a.593.1	Rub one of the minerals against the other one and see if it has a mark or a scratch .
EM.21a.637.1	Rub the minerals together and see if one scratches the other !
II.38.103.1	What one sees is flat but when one writes one's letters backwards .
II.38.151.1	One would see the whole shape .
II.38.473.1	Half of the flat object .
II.38.485.1	What the mirror is reflecting on the flat object .
MX.53.425.1	Yes , because the person could find out what type of crystals they are .
MX.53.473.1	By comparing the solution to other solutions .
MX.53.528.1	Weigh all the solutions .
MX.53.575.1	Each crystal has its own properties so if one recognized it, one would know what solute it was .
ST.58.417.1	To see if the part of a plant one is observing has seed .
ST.58.533.1	Because the part of a plant one is observing has seeds .
ST.58.595.1	If the part of a plant one is observing has seed inside it is a fruit .
ST.58.637.1	The part of a plant one is observing is plant .
VB.29.429.1	One uses a standard in a controlled experiment .
VB.29.432.1	One needs to have a standard so one can tell the difference of what the experiment was and so one can tell how far it went .
VB.29.462.1	One uses a standard because one knows it will be controlled if one does something random it might not work and that is not a controlled experiment .
VB.29.511.1	So when one starts with the standard it will help one understand more of the experiment .
ST.52a.460.1	Roots sucks in water and makes a seed grow .
ST.52a.473.1	Because the root is getting water so the young plant or embryo can have energy to grow .
ST.52a.498.1	The root grows first so it can feed the plant .
ST.52a.561.1	The root grew because it needs to help the plant stand up .
LP.15c.145.1	The amount of effort required to lift the load and its distance from the fulcrum both start off with 0. And they both have effort in it .
LP.15c.171.1	If the effort is farther from the fulcrum , it takes less effort to lift it .
LP.15c.425.1	The farther the effort is applied from the fulcrum the effort decreases .
LP.15c.630.1	If the effort is closer to the fulcrum then it is easier but if the effort is farther from the fulcrum then it is harder .
MS.43b.143.1	The groups should zero their balances .
MS.43b.174.1	Get the same marbles .
MS.43b.417.1	The groups should zero their balances out before they put the apple in .
MS.43b.532.1	Use grams .
PS.4ap.160.1	If the person pulled the string tighter, the pitch would be louder .
PS.4ap.212.1	The pitch would have got higher .
PS.4ap.384.1	The pitch will be lower .
PS.4ap.629.1	The pitch would be higher if the person pulled the string really tight .
ST.59.384.1	A person should make sure the lizards each have their own space .
ST.59.426.1	A person should be sure to include shelter , space , food in the habitat .
ST.59.524.1	A person should add another shelter .
ST.59.527.1	A person needs another shelter .
LF.13b.384.1	Water erodes and carries away earth material .
LF.13b.405.1	Earth materials form into other solids water , lava , wind .
LF.13b.407.1	Earth materials just move around during erosion .
LF.13b.408.1	Earth materials all settle to the bottom .
LF.13b.417.1	During erosion, water, wind or ice wear away earth materials .
LF.13b.468.1	Water wears away the earth materials .
LF.13b.501.1	Earth material forms a canyon .
LF.13b.508.1	Water washes away all of the materials and all of the materials make a way for the water .
LF.13b.516.1	The delta starts to get bigger .
LF.13b.737.1	Water takes away earth materials from river banks, beaches, and island .
LF.13b.752.1	During erosion earth materials break away and flow away .
LF.13b.753.1	Water smashes and grinds earth materials into new shapes, sizes or even little pieces one can barely see .
LF.13b.773.1	Erosion is the process of moving sediment from one place to another .
LF.13b.836.1	Water wears down earth materials .
LF.13b.848.1	The materials rise and disappear .
LF.13b.918.1	What happens earth materials during erosion is the materials are carried away form water that tables 9 to another place .
PS.2b.501.1	The volume of sound goes higher and the vibrations go higher .
PS.2b.528.1	The volume of the rubber band get louder .
PS.2b.531.1	The volume of sound turns louder .
PS.2b.532.1	The rubber band will vibrate more so the sound increases .
PS.2b.537.1	Plucking the rubber band harder makes a louder sound .
PS.2b.561.1	The volume will be higher .
PS.2b.562.1	Plucking the rubber band will sound louder .
PS.2b.571.1	The rubber band starts to vibrate .
PS.2b.595.1	The volume turns up .
PS.2b.599.1	Plucking a rubber band harder sounds kind of loud .
PS.2b.600.1	Plucking a rubber band harder will make a lower noise .
PS.2b.605.1	The volume will go lower when one plucks it .
PS.2b.626.1	Plucking a rubber band harder makes a louder noise .
PS.2b.629.1	A rubber band vibrates more and makes louder noise .
PS.2b.643.1	Plucking a rubber band harder stops the sound .
PS.2b.644.1	The vibration gets harder .
MS.50b.107.1	Like people understand what one is saying. Like say one wants 2 liters of gas .
MS.50b.136.1	A standard unit is important because one can get the same unit and the same measurement .
MS.50b.141.1	A standard unit is an important thing to do .
MS.50b.277.1	So one can have the same measurement as like a person in China that how one learned that .
MS.50b.293.1	So one knows how to measure .
MS.50b.311.1	To know how to best way to do the work .
MS.50b.323.1	Because one will not get the right answer .
MS.50b.393.1	So one can communicate with other people .
MS.50b.423.1	In case if someone is sick .
MS.50b.433.1	So one can know what the answer is .
MS.50b.454.1	So people would understand each other .
MS.50b.569.1	one got have a standard measurement for one could know what is the real answer .
MS.50b.592.1	So that if one just measure anything else one will not get the right answer .
SE.44.119.1	The house would be warmer .
SE.44.123.1	The advantage is that when one is including a heat sink it takes up some space .
SE.44.126.1	The advantage is the water and rocks would not probably warm up the house that much .
SE.44.171.1	A heat sink can absorb an enormous amount of heat and take a long time to cool down .
SE.44.318.1	The heat sink absorbs heat slowly and releases it slowly , so the hot air would stay inside the house longer .
SE.44.335.1	A thermometer then we check it every 5 minutes and it always changes the temperature and the time .
SE.44.339.1	It depends the color of one's house if the house is black the heat sink in a house will be hot , if the house is white one's heat sink it would be cooler .
SE.44.382.1	That the house will be cooler .
SE.44.419.1	The advantage is that the heat sink keeps one's house warm .
SE.44.427.1	The advantage of including a heat sink in our solar houses would be that it would keep the heat in one place and release it slower .
SE.44.436.1	The advantage of having a heat sink in one's house is that the heat slowly rises .
SE.44.494.1	The advantage of including a heat sink in a house would be that the house would probably stay warm .
SE.44.503.1	As the house heats up so does the heat sink then at night fall the heat sink transfers heat into the air keeping it warmer than the others .
SE.44.527.1	The water will be burning or boiling .
SE.44.563.1	The advantage is that a heat sink can absorb the heat and energy !
SE.44.604.1	The advantage of including a heat sink inside the house will keep the house cool because heat sinks do not absorb a lot of heat .
MS.50b.461.1	It is important to use standard for measurement .
PS.2b.567.1	Do nothing .
HB.35.492.1	The muscle work by contracting and relaxing to make the toe point . Tibia works by contracting and gastrocnemius works by relaxing .
HB.35.525.1	The tendons pull each other and make the dancer's foot point have great balance .
HB.35.533.1	The 2 muscle work together by one relaxes and the other tightens .
HB.35.537.1	The muscles in the front and back of the leg work together so the dancer can balance and point her foot .
HB.35.573.1	The backs of the leg has to stretch and the front of the leg bends .
HB.35.575.1	The gastrocnemius contracts at the back of the leg and the tibia relaxes for the dancer's foot to point .
HB.35.577.1	First the dancer needs to have muscles to help bend her foot . Second the dancer needs strong muscle to help her keep her foot like that, but she needs both of her muscle to keep her on balance .
WA.12a.300.1	The oil is more dense .
WA.12a.349.1	The layering tells one that oil expands .
WA.12a.354.1	The oil is less denser than the water . The water is dense than the oil .
WA.12a.359.1	That the oil is less dense than the syrup .
WA.12a.362.1	The water is denser than the oil .
WA.12a.416.1	The oil is less dense than water .
WA.12a.430.1	Oil has less density than water .
HB.6a.145.1	The muscles help a person stand up and his bones to move .
HB.6a.177.1	The muscles provide movement .
HB.6a.181.1	The muscles help your body move .
HB.6a.182.1	The muscles help move your bones .
HB.6a.207.1	The muscles support the body .
HB.6a.249.1	The main job of muscles is to allow you to move and bend .
HB.6a.251.1	The main job of muscles is to work together with the bones .
WA.12b.171.1	That the oil has lines and the water does not .
WA.12b.188.1	The layering tells one that corn syrup is denser than water . Because it is at the top .
WA.12b.191.1	The layering tells me that corn syrup is dense .
WA.12b.197.1	That water and corn syrup are denser than oil .
WA.12b.212.1	The corn syrup is denser because it contracts, sinks .
WA.12b.215.1	The water is less dense than syrup .
WA.12b.219.1	The corn syrup is less density than water .
HB.46.424.1	The hinge allows the knees and the elbow bend.
HB.46.428.1	Joints, because bones can not bend but joints bend really easily to allow the body to move.
HB.46.455.1	Joints help the human skeleton to bend.
HB.46.459.1	A person's cartilage can help the human skeleton bend.
HB.46.466.1	The hip in the skeleton makes the human skeleton bend.
HB.46.489.1	The human skeleton could bend because it has joints.
HB.46.491.1	Joints in the spine, legs, arms, and head allow the human skeleton to bend.
WA.31.465.1	The person weighed the sponge when it was wet. Then the water evaporated and Jose weighed the sponge.
WA.31.469.1	Some of the water evaporated from the cup.
WA.31.487.1	Because overnight the water in the sponge evaporated so there was no water and it weighed less.
WA.31.527.1	Because the water in the sponge evaporated overnight and that means it would not be as heavy.
WA.31.535.1	The masses were different because the sponge soaks up the water in it.
WA.31.536.1	Because water does weigh something. If the sponge is wet one day the next it will be dryer, and weigh less.
WA.31.556.1	Because the water evaporated, and the sponge weighed its normal weight without water.
WA.17b.299.1	Because when water is cold it goes to the bottom.
WA.17b.356.1	Because when the cold or hot water goes down.
WA.17b.368.1	Because cold water is denser than hot and it contracts.
WA.17b.424.1	When water gets colder it contracts.
WA.17b.425.1	Because cold water is less dense.
