7.4.24  linked lists are passed by using pointers.
9.2.8  Remove the item added first, add items to the back. 
11.1.4  Class is user defined. It contains members, data and functions. The keyword class is used and includes brackets ( ) 
11.1.24  A class definition includes the definitions of the class 's constructor ( s ) and any public or private functions. Of course, it also includes the class header and any necessary C libraries
11.1.28  class definitions include the name of the class and type of parameters. 
2.1.2  The attributes of said class are included in a class definition. Also whether or not it is a subclass and whether it is public, private or protected are included in a class definition. 
2.1.3  Information telling the compiler what data members and member functions belong to the class is included in a class definition.
2.1.4  Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers. Example for specifiers would be public, private, and protected. There is the keyword Class and the Class body is enclosed with brackets ( ). 
2.1.5  An object and data are included in a class definition. 
2.1.6  It is specific class name, includes only information defined by that class, implementation details, etc. that are included in a class definition.
2.1.11  Member functions and data members belonging to the class are included in a class definition. 
2.1.12  a public and private area that includes the functions and variables that are used in the class are included in a class definition. 
2.1.13  the keyword class followed by they class name, on the inside you declare public and private declarations of your class. 
2.1.16  the data and methods are included in a class definition. 
2.1.17  A constructor, functions, and variables that are accessible to by that class, and possibly other classes depending on how they are done are included in a class definition. 
2.1.23  the class name and its public data types such as constructors, methods, functions are included in a class definition. 
2.1.24  a constructor and several data members, and at least one public data member or method are included in a class definition. 
2.1.28  functions and data members that belong to the class are included in a class definition.
2.1.30  A class is an expanded concept of a data structure, it holds both the data and the functions being executed 
2.5.1  Just one constructor can be created per class. 
2.5.2  As many constructors as you want can be created per class so long as they have different parameters. 
2.5.5  In C plus plus, the constructor can be overloaded in that there can be more than one constructor for a class, each having different parameters. 
2.5.8  One constructor can be created per class. 
1.2.2  The implementation phase and the maintenance phase are effected by the testing stage.
1.2.3  Verification, coding, refining the solution and maintenance are all influenced by the testing stage. 
1.2.5  Refining the solution, Production and Maintenance are all influenced by the Testing stage. 
1.2.6  Elaboration, Construction, and Transition are all affected by testing stage.
1.2.10  Refining and Coding are influenced by testing stage.
1.2.17  Testing, refining, production, and maintenance are influenced by the Testing stage. 
1.2.24  Removing logical errors, testing for valid data, random data and actual data are influenced by the Testing stage. 
1.4.8  C plus plus programs begin to execute in the testing phase. 
1.4.13  C plus plus programs begin to execute at the root. 
1.4.20  After loading the required include statements and libraries, the main method begins the execution. 
1.4.23  C plus plus programs begin execution at the main function. 
3.1.1  A function signature includes the name of the program, the type of parameters it can take. It should also include a brief description of what the function does. 
3.1.4  A function signature consists of the function prototype. This tells one the general information about a function, its name, parameters, what scope it is in, and other miscellaneous information. 
3.1.5  A function signature includes the name of the function and the types of its arguments. 
3.1.6  A function signature includes name, paramaters, scope, and other general function information.
3.1.7  A function signature includes a function name and parameter list. It does not include return type. Function signatures must be different. 
3.1.8  A function signature includes input parameters and return type. 
3.1.9  A function signature is the portion of the function prototype that has the function name and the arguments but NOT the return type. 
7.2.1  Elements can be inserted into a linked list at any point. Linked list does not need to be resized unlike an array needs to be. 
1.5.1  Variable can be a integer or a string in a program.  
8.1.3  A stack stores a set of elements in a particular order.  
9.1.16  Queue stores a set of elements in a particular order with a First In, First Out principle. 
10.6.2  The inorder traversal of a binary tree visits the node of a binary tree in order according to their data values.  
10.6.4  The inorder traversal of a binary tree is used to visit nodes of a binary search tree in a search key order.  
12.1.28  A pointer is like a variable but only holds an address in memory not the physical address. 
2.3.3  Unlike regular functions, constructors are only used to initialize an object's data when it is created. Constructors must also be given the same name as the class and cannot return any values.    
2.3.1  A constructor initializes an object or objects of a class. A function of a class performs a task such as display a line of text or do some kind of mathematical operations.  
2.3.8  A constructor does not return any date and has no return type. Functions can return date or not return data can have a return type.  
2.3.23  A constructor is used to create an instance of a class and has the same name as that class. A function cannot have the same name as a class and computes data . 
3.5.3  The compiler distinguishes overloaded functions by their signatures. It encodes each function identifier with the number and types of its parameters to generate type-safe linkage, which ensures the proper overloaded function is called.  
3.5.4  Overloaded functions are distinguished by their signatures, Name mangling or name decoration, and type-safe linkage ensures that proper overloaded functions is called and types of the arguments conform to types of the parameters.  
3.5.8  Overloaded functions must have the same return type but different input parameters.  
2.3.2  All constructors are functions but not all functions are constructors. Also functions can have nearly infinite purposes, while constructors always create an instance of whichever class one is using. One can change how a constructor does something but not what it does. With functions one can change not only the how but also the what.  
2.3.5  Constructors cannot return values, so they cannot specify a return type. Normally, constructors are declared public.  
2.3.16  A constructor initializes data members but the functions actually perform tasks. Constructors cannot return values either.
